Student ID,ACT MAJ,Active Programs,Term,Course Name,Section Name ,Current Status,MIDTERM GRADE,Final Grade,Verif Grade,Cmpl Cred,Faculty Last Name,M89 Stu Recent Math Placement ,CMPL CREDS UG,Degree,Degree Desc,Majors,Major,Date**
504580,,,02/FA,MA-050,MA-050-01,N,A,C+,C+,0,Kuntz,MATH.1,26,,,,,
1289402,MU,MU.MI.BA,19/FA,MA-050,MA-050-02,N,B-,B,B,0,Rizzuto,MATH.1,82,,,,,
1289402,MU,MU.MI.BA,20/SP,MA-105,MA-105-02,A,I,C+,C+,3,Ayers,MATH.1,82,,,,,
765310,,,10/FA,MA-050,MA-050-02,N,C,B+,B+,0,Allen,MATH.1,132,BA,Bachelor of Arts,PS,Political Science,1/18/2013
765310,,,12/SP,MA-100,MA-100-04,N,B,D,D,3,Bodner,MATH.1,132,BA,Bachelor of Arts,PS,Political Science,1/18/2013
433263,,,00/FA,MA-050,MA-050-Q3,N,A-,B,B,0,Schwartz,MATH.1,128,BS,Bachelor of Science,BUBK,Business Administration,5/1/2004
433263,,,01/FA,MA-105,MA-105-02,N,A,A,A,3,Dubinsky,MATH.1,128,BS,Bachelor of Science,BUBK,Business Administration,5/1/2004
433263,,,02/SP,MA-117,MA-117-50,N,A-,B,B,3,Kaminski,MATH.1,128,BS,Bachelor of Science,BUBK,Business Administration,5/1/2004
433263,,,03/S1,MA-118,MA-118-11,N,,B+,B+,3,Liu,MATH.1,128,BS,Bachelor of Science,BUBK,Business Administration,5/1/2004
1292969,HE,HE.HE.BS,19/SE,MA-050,MA-050-EOF01,N,,B+,B+,0,Fure,MATH.1,89,,,,,
1292969,HE,HE.HE.BS,19/FA,MA-101,MA-101-02,N,A,B,B,3,Kaub,MATH.1,89,,,,,
1292969,HE,HE.HE.BS,21/SP,MA-151,MA-151-03,N,C-,C,C,3,Pang,MATH.1,89,,,,,
753518,,,10/SP,MA-050,MA-050-50,N,B-,A-,A-,0,Bodner,MATH.1,128,BA,Bachelor of Arts,EN,English,1/17/2014
,,,,,,,,,,,,,,,,EDS,Education - Secondary,
753518,,,10/FA,MA-100,MA-100-03,N,NR,A-,A-,3,Palsu-Andriescu,MATH.1,128,BA,Bachelor of Arts,EN,English,1/17/2014
,,,,,,,,,,,,,,,,EDS,Education - Secondary,
1076743,,,16/SP,MA-050,MA-050-02,N,A,R,R,0,Anderson,MATH.1,21,,,,,
533472,,,04/SP,MA-050,MA-050-01,N,A,C,C,0,Penge,MATH.1,19,,,,,
533472,,,03/FA,MA-050,MA-050-50,N,C-,R,R,0,Dietrich,MATH.1,19,,,,,
1322220,BY,BY.MC.BS,21/SE,MA-050,MA-050-EOF01,N,,A,A,0,Lampell,MATH.1,17,,,,,
1322220,BY,BY.MC.BS,21/FA,MA-101,MA-101-03,N,A-,A-,A-,3,Kaub,MATH.1,17,,,,,
1322220,BY,BY.MC.BS,22/SP,MA-115,MA-115-50,N,,,,0,Ayotte,MATH.1,17,,,,,
877794,,,13/SP,MA-050,MA-050-01,N,B+,A,A,0,Ralli,MATH.1,128,BA,Bachelor of Arts,CO,Communication,5/13/2016
877794,,,13/FA,MA-101,MA-101-01,N,A-,A-,A-,3,Ralli,MATH.1,128,BA,Bachelor of Arts,CO,Communication,5/13/2016
877794,,,14/SP,MA-105,MA-105-50,N,NR,A,A,3,Effrain,MATH.1,128,BA,Bachelor of Arts,CO,Communication,5/13/2016
461558,,,01/FA,MA-050,MA-050-02,N,B,A,A,0,Bodner,MATH.1,28,,,,,
1108492,,,17/SP,MA-050,MA-050-50,N,A,A-,A-,0,Ramos,MATH.1,30,,,,,
499023,,,03/SP,MA-050,MA-050-50,N,A-,B,B,0,Dietrich,MATH.1,128,BA,Bachelor of Arts,HS,History,1/1/2008
499023,,,04/SP,MA-100,MA-100-51,N,B,B,B,3,Krishan,MATH.1,128,BA,Bachelor of Arts,HS,History,1/1/2008
1058201,,,15/FA,MA-050,MA-050-02,N,C,C+,C+,0,Bodner,MATH.1,128,BA,Bachelor of Arts,CJ,Criminal Justice,5/15/2019
,,,,,,,,,,,,,,MA,Master of Arts,CJ,Criminal Justice,1/14/2022
1058201,,,16/SP,MA-105,MA-105-04,N,F,C-,C-,3,Coffey,MATH.1,128,BA,Bachelor of Arts,CJ,Criminal Justice,5/15/2019
,,,,,,,,,,,,,,MA,Master of Arts,CJ,Criminal Justice,1/14/2022
607453,,,05/FA,MA-050,MA-050-03,N,B-,C,C,0,Killmer,MATH.1,28,,,,,
1035002,,,,MA-050,MA-050-,NC,,,,0,,MATH.1,0,,,,,
533155,,,03/FA,MA-050,MA-050-03,N,B-,C-,C-,0,Schwartz,MATH.1,16,,,,,
812393,,,10/FA,MA-101,MA-101-01,N,C+,B,B,3,Frankie,MATH.1,129,BS,Bachelor of Science,CS,Computer Science,5/1/2014
812393,,,11/SP,MA-109,MA-109-01,N,C+,C+,C+,4,Ralli,MATH.1,129,BS,Bachelor of Science,CS,Computer Science,5/1/2014
1183210,,,19/SP,MA-050,MA-050-01,N,C,B+,B+,0,Coffey,MATH.1,9,,,,,
1183210,,,19/FA,MA-105,MA-105-05,N,F,F,F,0,Anderson,MATH.1,9,,,,,
579077,,,04/S3,MA-050,MA-050-E1,N,,C-,C-,0,Fure,MATH.1,129,BA,Bachelor of Arts,MU,Music,1/1/2009
579077,,,05/FA,MA-100,MA-100-F3,N,B,B-,B-,3,Penge,MATH.1,129,BA,Bachelor of Arts,MU,Music,1/1/2009
728541,,,08/FA,MA-050,MA-050-01,N,B+,B+,B+,0,Ralli,MATH.1,13,,,,,
924305,,,13/SP,MA-001,MA-001-,TR,,,T,2,,MATH.1,129,BS,Bachelor of Science,CS,Computer Science,1/13/2017
924305,,,13/FA,MA-050,MA-050-50,N,B,C+,C+,0,Wacha,MATH.1,129,BS,Bachelor of Science,CS,Computer Science,1/13/2017
924305,,,14/SP,MA-105,MA-105-53,N,B,B,B,3,Krishan,MATH.1,129,BS,Bachelor of Science,CS,Computer Science,1/13/2017
924305,,,14/FA,MA-109,MA-109-01,N,F,F,F,0,Zak,MATH.1,129,BS,Bachelor of Science,CS,Computer Science,1/13/2017
924305,,,15/FA,MA-109,MA-109-01,N,F,F,F,0,Dietrich,MATH.1,129,BS,Bachelor of Science,CS,Computer Science,1/13/2017
924305,,,16/SP,MA-109,MA-109-01,N,B-,B-,B-,4,Dietrich,MATH.1,129,BS,Bachelor of Science,CS,Computer Science,1/13/2017
701102,,,07/FA,MA-050,MA-050-01,N,A,F,F,0,Dietrich,MATH.1,0,,,,,
1099030,,,16/SP,MA-050,MA-050-02,N,A,A,A,0,Anderson,MATH.1,153,BS,Bachelor of Science,SE,Software Engineering,5/19/2021
1099030,,,16/FA,MA-101,MA-101-01,N,C+,C,C,3,Poracky,MATH.1,153,BS,Bachelor of Science,SE,Software Engineering,5/19/2021
1099030,,,17/FA,MA-115,MA-115-04,N,C-,B-,B-,3,Zak,MATH.1,153,BS,Bachelor of Science,SE,Software Engineering,5/19/2021
1099030,,,18/FA,MA-125,MA-125-02,N,F,F,F,0,Valiquette,MATH.1,153,BS,Bachelor of Science,SE,Software Engineering,5/19/2021
1099030,,,19/FA,MA-125,MA-125-02,N,C+,C+,C+,4,Zak,MATH.1,153,BS,Bachelor of Science,SE,Software Engineering,5/19/2021
1099030,,,19/SB,MA-125,MA-125-B01,N,,D+,D+,4,Marshall,MATH.1,153,BS,Bachelor of Science,SE,Software Engineering,5/19/2021
1099030,,,20/FA,MA-126,MA-126-01,N,C-,C-,C-,4,Marshall,MATH.1,153,BS,Bachelor of Science,SE,Software Engineering,5/19/2021
1099030,,,17/SP,MA-130,MA-130-01,N,C-,C,C,3,Kudlak,MATH.1,153,BS,Bachelor of Science,SE,Software Engineering,5/19/2021
1099030,,,21/SP,MA-220,MA-220-02,N,B-,B-,B-,3,Pang,MATH.1,153,BS,Bachelor of Science,SE,Software Engineering,5/19/2021
1302456,SW,SW.BSW,20/SE,MA-050,MA-050-EOF01,N,,B+,B+,0,Lampell,MATH.1,51,,,,,
1302456,SW,SW.BSW,,MA-100,MA-100-,TR,,,T,3,,MATH.1,51,,,,,
1302456,SW,SW.BSW,21/FA,MA-105,MA-105-07,N,C,B-,B-,3,Dubinsky,MATH.1,51,,,,,
659190,,,07/SP,MA-050,MA-050-50,N,A,B+,B+,0,Bodner,MATH.1,129,BA,Bachelor of Arts,PS,Political Science,1/1/2011
659190,,,07/FA,MA-100,MA-100-50,N,A-,B+,B+,3,Krishan,MATH.1,129,BA,Bachelor of Arts,PS,Political Science,1/1/2011
733665,,,09/SP,MA-050,MA-050-50,N,A,F,F,0,Wacha,MATH.1,0,,,,,
659827,,,07/SP,MA-050,MA-050-50,N,A,B,B,0,Bodner,MATH.1,132,BS,Bachelor of Science,HE,Health Studies,1/1/2011
659827,,,07/FA,MA-105,MA-105-09,N,C,B-,B-,3,Swartz,MATH.1,132,BS,Bachelor of Science,HE,Health Studies,1/1/2011
659827,,,08/SP,MA-117,MA-117-50,N,D,F,F,0,Bastian,MATH.1,132,BS,Bachelor of Science,HE,Health Studies,1/1/2011
659827,,,09/SB,MA-117,MA-117-B01,N,,C,C,3,Pang,MATH.1,132,BS,Bachelor of Science,HE,Health Studies,1/1/2011
522799,,,02/FA,MA-050,MA-050-02,N,A,B,B,0,Bodner,MATH.1,139.52,BS,Bachelor of Science,BUBK,Business Administration,1/1/2006
522799,,,03/SP,MA-105,MA-105-07,N,C-,C,C,3,Poracky,MATH.1,139.52,BS,Bachelor of Science,BUBK,Business Administration,1/1/2006
522799,,,04/SP,MA-117,MA-117-01,N,D-,C,C,3,Poracky,MATH.1,139.52,BS,Bachelor of Science,BUBK,Business Administration,1/1/2006
522799,,,03/FA,MA-117,MA-117-02,N,F,F,F,0,Ford,MATH.1,139.52,BS,Bachelor of Science,BUBK,Business Administration,1/1/2006
522799,,,04/FA,MA-118,MA-118-01,N,F,C,C,3,Poracky,MATH.1,139.52,BS,Bachelor of Science,BUBK,Business Administration,1/1/2006
1026777,,,16/FA,MA-050,MA-050-01,N,C+,C-,C-,0,Dietrich,MATH.1,128,BA,Bachelor of Arts,MU,Music,5/13/2020
1026777,,,17/FA,MA-100,MA-100-02,N,B-,B-,B-,3,Nill,MATH.1,128,BA,Bachelor of Arts,MU,Music,5/13/2020
1026777,,,17/SP,MA-101,MA-101-01,N,D-,D-,D-,3,Poracky,MATH.1,128,BA,Bachelor of Arts,MU,Music,5/13/2020
444898,,,00/FA,MA-050,MA-050-50,N,F,R,R,0,Dietrich,MATH.1,15,,,,,
444898,,,01/SP,MA-050,MA-050-50,N,B-,B-,B-,0,Bodner,MATH.1,15,,,,,
719686,,,09/SP,MA-050,MA-050-50,N,B,C+,C+,0,Wacha,MATH.1,128,BA,Bachelor of Arts,CO,Communication,1/18/2013
719686,,,09/FA,MA-100,MA-100-02,N,F,D-,D-,3,Wacha,MATH.1,128,BA,Bachelor of Arts,CO,Communication,1/18/2013
496981,,,02/FA,MA-050,MA-050-01,N,A,A,A,0,Kuntz,MATH.1,22,,,,,
1121415,,,17/FA,MA-050,MA-050-50,N,NR,B,B,0,Kallas,MATH.1,27,,,,,
959525,,,14/FA,MA-050,MA-050-01,N,B-,R,R,0,Dietrich,MATH.1,128,BSW,Bachelor of Social Work,SW,Social Work,5/9/2018
,,,,,,,,,,,,,,MSW,Master of Social Work,SW,Social Work,5/15/2019
959525,,,15/FA,MA-050,MA-050-02,N,B+,C-,C-,0,Bodner,MATH.1,128,BSW,Bachelor of Social Work,SW,Social Work,5/9/2018
,,,,,,,,,,,,,,MSW,Master of Social Work,SW,Social Work,5/15/2019
959525,,,16/FA,MA-105,MA-105-05,N,NR,B-,B-,3,Moreland,MATH.1,128,BSW,Bachelor of Social Work,SW,Social Work,5/9/2018
,,,,,,,,,,,,,,MSW,Master of Social Work,SW,Social Work,5/15/2019
914340,,,12/FA,MA-050,MA-050-01,N,A-,B+,B+,0,Ralli,MATH.1,141,BS,Bachelor of Science,SE,Software Engineering,5/10/2017
914340,,,13/SP,MA-105,MA-105-52,N,A-,B+,B+,3,Wacha,MATH.1,141,BS,Bachelor of Science,SE,Software Engineering,5/10/2017
914340,,,13/FA,MA-109,MA-109-01,N,C,B,B,4,Dietrich,MATH.1,141,BS,Bachelor of Science,SE,Software Engineering,5/10/2017
914340,,,14/SB,MA-125,MA-125-B01,N,,A-,A-,4,Marshall,MATH.1,141,BS,Bachelor of Science,SE,Software Engineering,5/10/2017
914340,,,14/FA,MA-126,MA-126-01,N,A-,B,B,4,Chrisman,MATH.1,141,BS,Bachelor of Science,SE,Software Engineering,5/10/2017
914340,,,15/SP,MA-130,MA-130-01,N,D,C+,C+,3,Kudlak,MATH.1,141,BS,Bachelor of Science,SE,Software Engineering,5/10/2017
914340,,,15/FA,MA-220,MA-220-01,N,F,C+,C+,3,Pang,MATH.1,141,BS,Bachelor of Science,SE,Software Engineering,5/10/2017
540776,,,03/FA,MA-050,MA-050-02,N,A,A,A,0,Killmer,MATH.1,128,BA,Bachelor of Arts,CJ,Criminal Justice,5/1/2007
540776,,,04/SP,MA-105,MA-105-Q1,N,A,B,B,3,Swartz,MATH.1,128,BA,Bachelor of Arts,CJ,Criminal Justice,5/1/2007
619315,,,05/FA,MA-050,MA-050-03,N,B+,B+,B+,0,Killmer,MATH.1,130,BS,Bachelor of Science,BUBM,Business Administration,8/1/2009
619315,,,06/FA,MA-105,MA-105-03,N,C-,C-,C-,3,Bastian,MATH.1,130,BS,Bachelor of Science,BUBM,Business Administration,8/1/2009
619315,,,07/SP,MA-117,MA-117-03,N,D+,C-,C-,3,Marshall,MATH.1,130,BS,Bachelor of Science,BUBM,Business Administration,8/1/2009
619315,,,08/FA,MA-118,MA-118-04,N,B-,B+,B+,3,O'Hara,MATH.1,130,BS,Bachelor of Science,BUBM,Business Administration,8/1/2009
1032175,,,15/FA,MA-050,MA-050-01,N,B-,R,R,0,Coffey,MATH.1,128,BA,Bachelor of Arts,MU,Music,5/15/2019
1032175,,,17/SP,MA-050,MA-050-50,N,B,C-,C-,0,Ramos,MATH.1,128,BA,Bachelor of Arts,MU,Music,5/15/2019
1032175,,,17/SB,MA-105,MA-105-B02,N,,C-,C-,3,Epstein,MATH.1,128,BA,Bachelor of Arts,MU,Music,5/15/2019
470217,,,02/FA,MA-050,MA-050-03,N,A,A,A,0,Killmer,MATH.1,152,BS,Bachelor of Science,BUBM,Business Administration,1/1/2008
470217,,,03/SP,MA-100,MA-100-04,N,D,C,C,3,Schwartz,MATH.1,152,BS,Bachelor of Science,BUBM,Business Administration,1/1/2008
470217,,,04/FA,MA-101,MA-101-01,N,C-,C,C,3,Poracky,MATH.1,152,BS,Bachelor of Science,BUBM,Business Administration,1/1/2008
470217,,,04/FA,MA-103,MA-103-04,N,B,C+,C+,3,Marshall,MATH.1,152,BS,Bachelor of Science,BUBM,Business Administration,1/1/2008
470217,,,05/SP,MA-109,MA-109-50,N,B-,C,C,4,Killmer,MATH.1,152,BS,Bachelor of Science,BUBM,Business Administration,1/1/2008
470217,,,06/SP,MA-117,MA-117-50,N,A,A-,A-,3,Epstein,MATH.1,152,BS,Bachelor of Science,BUBM,Business Administration,1/1/2008
470217,,,05/SP,MA-120,MA-120-01,N,C,C,C,3,Marshall,MATH.1,152,BS,Bachelor of Science,BUBM,Business Administration,1/1/2008
470217,,,05/FA,MA-125,MA-125-02,N,C-,D,D,4,Smith,MATH.1,152,BS,Bachelor of Science,BUBM,Business Administration,1/1/2008
470217,,,05/FA,MA-131L,MA-131L-01,N,C,C,C,1,Liu,MATH.1,152,BS,Bachelor of Science,BUBM,Business Administration,1/1/2008
717871,,,08/FA,MA-050,MA-050-50,N,B,A-,A-,0,Wacha,MATH.1,150,BS,Bachelor of Science,BUBA,Business Administration,5/1/2012
717871,,,09/SP,MA-105,MA-105-04,N,A,C,C,3,Swartz,MATH.1,150,BS,Bachelor of Science,BUBA,Business Administration,5/1/2012
717871,,,09/SA,MA-117,MA-117-,TR,,,T,3,,MATH.1,150,BS,Bachelor of Science,BUBA,Business Administration,5/1/2012
717871,,,10/SP,MA-118,MA-118-01,N,C-,A-,A-,3,O'Hara,MATH.1,150,BS,Bachelor of Science,BUBA,Business Administration,5/1/2012
717871,,,08/FA,MA-151,MA-151-,TR,,,T,3,,MATH.1,150,BS,Bachelor of Science,BUBA,Business Administration,5/1/2012
746197,,,10/SP,MA-050,MA-050-50,N,B-,B-,B-,0,Bodner,MATH.1,128,BA,Bachelor of Arts,CJ,Criminal Justice,5/22/2013
746197,,,10/FA,MA-105,MA-105-50,N,B+,B-,B-,3,O'Hara,MATH.1,128,BA,Bachelor of Arts,CJ,Criminal Justice,5/22/2013
660471,,,07/FA,MA-050,MA-050-50,N,A,A,A,0,Bodner,MATH.1,130,BA,Bachelor of Arts,CO,Communication,1/1/2011
660471,,,08/SP,MA-100,MA-100-50,N,B+,B,B,3,Krishan,MATH.1,130,BA,Bachelor of Arts,CO,Communication,1/1/2011
1166516,,,18/SP,MA-050,MA-050-01,N,C,F,F,0,Dietrich,MATH.1,128,BA,Bachelor of Arts,MU,Music,5/13/2020
1166516,,,17/FA,MA-050,MA-050-02,N,R,F,F,0,Coffey,MATH.1,128,BA,Bachelor of Arts,MU,Music,5/13/2020
1166516,,,18/FA,MA-050,MA-050-02,N,B,C,C,0,Rizzuto,MATH.1,128,BA,Bachelor of Arts,MU,Music,5/13/2020
1166516,,,19/SP,MA-105,MA-105-02,A,F,C,C,3,Anderson,MATH.1,128,BA,Bachelor of Arts,MU,Music,5/13/2020
848473,,,11/FA,MA-050,MA-050-02,N,C+,C,C,0,Ralli,MATH.1,128,BS,Bachelor of Science,HEPE,Health and Physical Education,1/15/2016
,,,,,,,,,,,,,,,,EDS,Education - Secondary,
848473,,,13/FA,MA-105,MA-105-06,N,C,D,D,3,Wilson,MATH.1,128,BS,Bachelor of Science,HEPE,Health and Physical Education,1/15/2016
,,,,,,,,,,,,,,,,EDS,Education - Secondary,
578884,,,04/FA,MA-050,MA-050-F1,N,C,B,B,0,Penge,MATH.1,141,AA,Associate in Arts,GN,General Studies,5/1/2009
,,,,,,,,,,,,,,BS,Bachelor of Science,BUBK,Business Administration,7/1/2009
578884,,,05/SP,MA-100,MA-100-F2,N,B+,B,B,3,Penge,MATH.1,141,AA,Associate in Arts,GN,General Studies,5/1/2009
,,,,,,,,,,,,,,BS,Bachelor of Science,BUBK,Business Administration,7/1/2009
578884,,,06/FA,MA-105,MA-105-08,N,F,C-,C-,3,Swartz,MATH.1,141,AA,Associate in Arts,GN,General Studies,5/1/2009
,,,,,,,,,,,,,,BS,Bachelor of Science,BUBK,Business Administration,7/1/2009
578884,,,05/FA,MA-105,MA-105-50,N,C+,D+,D+,3,Menist,MATH.1,141,AA,Associate in Arts,GN,General Studies,5/1/2009
,,,,,,,,,,,,,,BS,Bachelor of Science,BUBK,Business Administration,7/1/2009
578884,,,07/SP,MA-117,MA-117-04,N,D-,B,B,3,Penge,MATH.1,141,AA,Associate in Arts,GN,General Studies,5/1/2009
,,,,,,,,,,,,,,BS,Bachelor of Science,BUBK,Business Administration,7/1/2009
578884,,,08/SE,MA-118,MA-118-E01,N,,B,B,3,Wacha,MATH.1,141,AA,Associate in Arts,GN,General Studies,5/1/2009
,,,,,,,,,,,,,,BS,Bachelor of Science,BUBK,Business Administration,7/1/2009
507823,,,04/SP,MA-050,MA-050-01,N,A,A,A,0,Penge,MATH.1,131,BA,Bachelor of Arts,CO,Communication,5/1/2007
,,,,,,,,,,,,,,MAT,Master of Arts in Teaching,EDM,Education - K-8,5/1/2009
507823,,,06/S1,MA-100,MA-100-611,N,,A-,A-,3,Penge,MATH.1,131,BA,Bachelor of Arts,CO,Communication,5/1/2007
,,,,,,,,,,,,,,MAT,Master of Arts in Teaching,EDM,Education - K-8,5/1/2009
1308256,BULOD,BUBLOD.BS,20/SE,MA-050,MA-050-EOF01,N,,B-,B-,0,Lampell,MATH.1,50,,,,,
1308256,BULOD,BUBLOD.BS,21/SP,MA-105,MA-105-05,N,C+,B+,B+,3,Epstein,MATH.1,50,,,,,
1308256,BULOD,BUBLOD.BS,21/FA,MA-117,MA-117-07,N,D-,C+,C+,3,Epstein,MATH.1,50,,,,,
472948,,,01/FA,MA-050,MA-050-Q1,N,B,B-,B-,0,Dubinsky,MATH.1,10,,,,,
791635,,,10/FA,MA-050,MA-050-02,N,B,A-,A-,0,Allen,MATH.1,27,,,,,
791635,,,11/SP,MA-105,MA-105-06,N,A,A,A,3,Wacha,MATH.1,27,,,,,
579460,,,04/FA,MA-050,MA-050-F2,N,F,C+,C+,0,Schwartz,MATH.1,40,,,,,
579460,,,05/SP,MA-100,MA-100-F2,N,C,B-,B-,3,Penge,MATH.1,40,,,,,
883476,,,12/FA,MA-050,MA-050-01,N,F,F,F,0,Ralli,MATH.1,128,BA,Bachelor of Arts,AN,Anthropology,5/13/2016
,,,,,,,,,,,,,,MA,Master of Arts,AN,Anthropology,5/9/2018
883476,,,13/FA,MA-050,MA-050-01,N,C-,C-,C-,0,Ralli,MATH.1,128,BA,Bachelor of Arts,AN,Anthropology,5/13/2016
,,,,,,,,,,,,,,MA,Master of Arts,AN,Anthropology,5/9/2018
883476,,,14/FA,MA-105,MA-105-06,N,F,F,F,0,Poracky,MATH.1,128,BA,Bachelor of Arts,AN,Anthropology,5/13/2016
,,,,,,,,,,,,,,MA,Master of Arts,AN,Anthropology,5/9/2018
883476,,,15/SB,MA-105,MA-105-B01,N,,C-,C-,3,Coyle,MATH.1,128,BA,Bachelor of Arts,AN,Anthropology,5/13/2016
,,,,,,,,,,,,,,MA,Master of Arts,AN,Anthropology,5/9/2018
1321619,BUBR,BUBR.BS,21/FA,MA-050,MA-050-01,N,B+,B+,B+,0,Rosado,MATH.1,12,,,,,
707527,,,08/FA,MA-050,MA-050-01,N,NR,C-,C-,0,Ralli,MATH.1,131,BA,Bachelor of Arts,CJ,Criminal Justice,5/1/2012
707527,,,09/FA,MA-105,MA-105-02,N,C+,D,D,3,Ralli,MATH.1,131,BA,Bachelor of Arts,CJ,Criminal Justice,5/1/2012
1021233,,,15/FA,MA-050,MA-050-02,N,R,C-,C-,0,Bodner,MATH.1,130,BFA,Bachelor of Fine Arts,FA,Fine Arts,5/15/2019
1021233,,,17/SP,MA-100,MA-100-02,N,F,F,F,0,Turner,MATH.1,130,BFA,Bachelor of Fine Arts,FA,Fine Arts,5/15/2019
1021233,,,17/FA,MA-105,MA-105-51,N,C,C,C,3,Tranchina,MATH.1,130,BFA,Bachelor of Fine Arts,FA,Fine Arts,5/15/2019
572741,,,04/FA,MA-050,MA-050-F4,N,B,A,A,0,Bodner,MATH.1,130,BS,Bachelor of Science,BUBF,Business Administration,5/1/2008
572741,,,05/FA,MA-105,MA-105-51,N,B,C,C,3,Krishan,MATH.1,130,BS,Bachelor of Science,BUBF,Business Administration,5/1/2008
572741,,,06/S1,MA-117,MA-117-,TR,,,T,3,,MATH.1,130,BS,Bachelor of Science,BUBF,Business Administration,5/1/2008
572741,,,06/FA,MA-118,MA-118-51,N,D-,C-,C-,3,Epstein,MATH.1,130,BS,Bachelor of Science,BUBF,Business Administration,5/1/2008
1288094,BUMDS,BUBMDS.BS,20/SP,MA-050,MA-050-01,N,B,A,A,0,Coffey,MATH.1,75,,,,,
1288094,BUMDS,BUBMDS.BS,20/SA,MA-105,MA-105-A01,N,,C+,C+,3,Zak,MATH.1,75,,,,,
1288094,BUMDS,BUBMDS.BS,20/FA,MA-117,MA-117-03,N,B,A-,A-,3,Rizzuto,MATH.1,75,,,,,
1183106,CO,CO.MSP.BA,17/FA,MA-050,MA-050-50,N,NR,C,C,0,Kallas,MATH.1,139,,,,,
1183106,CO,CO.MSP.BA,19/FA,MA-203,MA-203-03,N,B+,A,A,3,Wacha,MATH.1,139,,,,,
