ID,ACT MAJ,Active Programs,Term,Course Name,Section Name ,Current Status,MIDTERM GRADE,Final Grade,Verif Grade,Cmpl Cred,Faculty Last Name
2572703,CO,CO.MSP.BA,14/FA,MA-050,MA-050-01,N,F,F,F,0,Dietrich
2572703,CO,CO.MSP.BA,15/FA,MA-050,MA-050-01,N,F,C-,C-,0,Coffey
2725965,CO,CO.MSP.BA,17/FA,MA-050,MA-050-50,N,NR,C,C,0,Kallas
2737597,HEPE,HEPE.BS,17/FA,MA-050,MA-050-50,N,NR,C-,C-,0,Kallas
2634552,MU,MU.MI.BA,17/FA,MA-050,MA-050-02,N,C,C+,C+,0,Coffey
2699355,PY,PY.BA,17/FA,MA-050,MA-050-02,N,C,C,C,0,Coffey
2722498,MLS,MLS.BS,17/FA,MA-101,MA-101-02,N,A-,A,A,3,Palsu-Andriescu
2572703,CO,CO.MSP.BA,17/SB,MA-105,MA-105-B02,N,,A,A,3,Epstein
2712507,PY,PY.BA,17/SE,MA-050,MA-050-EOF01,N,,B,B,0,Coffey
2800373,EN,EN.CW.BA,18/FA,MA-050,MA-050-02,N,A,A,A,0,Rizzuto
2802685,CO,CO.MSP.BA,18/FA,MA-050,MA-050-01,N,A,A,A,0,Coffey
2766786,PY,PY.BA,18/FA,MA-105,MA-105-03,N,A,A,A,3,Anderson
2788128,CO,CO.MSP.BA,18/FA,MA-050,MA-050-02,N,B-,R,R,0,Rizzuto
2767369,MU,MU.MI.BA,18/FA,MA-050,MA-050-02,N,B,B,B,0,Rizzuto
2712507,PY,PY.BA,18/FA,MA-105,MA-105-07,N,C-,C-,C-,3,Nill
2754603,HS,HS.EDS.BA,18/FA,MA-105,MA-105-52,N,C+,B-,B-,3,Kittner
2690109,EN,EN.YI.BA,18/FA,MA-203,MA-203-50,N,B,A,A,3,Wacha
2680622,HEPR,HEPR.FW.BS,18/FA,MA-050,MA-050-02,N,A,A,A,0,Rizzuto
2767145,CO,CO.AC.BA,18/FA,MA-105,MA-105-07,N,B+,B+,B+,3,Nill
2774735,CO,CO.PR.BA,18/FA,MA-050,MA-050-02,N,B,B,B,0,Rizzuto
2769212,HEPR,HEPR.FW.BS,18/FA,MA-050,MA-050-02,N,A,A,A,0,Rizzuto
2760195,PY,PY.BA,18/FA,MA-050,MA-050-02,N,A,C,C,0,Rizzuto
2778538,BUBA,BUBA.BS,18/FA,MA-105,MA-105-03,N,A,A,A,3,Anderson
2634552,MU,MU.MI.BA,18/FA,MA-100,MA-100-01,N,F,D-,D-,3,Turner
2761141,BUBR,BUBR.BS,18/FA,MA-050,MA-050-01,N,B,B,B,0,Coffey
2790913,PY,PY.BA,18/FA,MA-105,MA-105-51,N,A,A,A,3,Tranchina
2722365,CO,CO.MSP.BA,18/FA,MA-050,MA-050-02,N,B+,B,B,0,Rizzuto
2716222,HE,HE.HE.BS,18/FA,MA-101,MA-101-01,N,C,C,C,3,Poracky
2777789,BUSBM,BUBSBM.BS,18/FA,MA-050,MA-050-02,N,A,A-,A-,0,Rizzuto
2740785,MU,MU.MI.BA,18/FA,MA-050,MA-050-02,N,B,B-,B-,0,Rizzuto
2770756,EN,EN.CW.BA,18/FA,MA-050,MA-050-02,N,A,A,A,0,Rizzuto
2656796,SW,SW.BSW,18/FA,MA-117,MA-117-04,N,D,C,C,3,Judge
2766080,BUBR,BUBR.BS,18/FA,MA-105,MA-105-04,N,B-,B,B,3,Nill
2764979,CJ,CJ.BA,18/FA,MA-050,MA-050-02,N,A-,A,A,0,Rizzuto
2772975,BUMDS,BUBMDS.BS,18/FA,MA-105,MA-105-05,N,B+,B-,B-,3,Pang
2778319,PY,PY.BA,18/FA,MA-050,MA-050-02,N,B,R,R,0,Rizzuto
2781274,SW,SW.BSW,18/FA,MA-105,MA-105-01,N,A,B,B,3,Anderson
2731042,SO,SO.BA,18/FA,MA-101,MA-101-01,N,C-,B-,B-,3,Poracky
2755409,PS,PS.BA,18/SE,MA-050,MA-050-EOF01,N,,C-,C-,0,Fure
2796259,EN,EN.BA,18/SE,MA-050,MA-050-EOF01,N,,C+,C+,0,Fure
2770932,BULOD,BUBLOD.BS,18/SE,MA-050,MA-050-EOF01,N,,A-,A-,0,Fure
2716222,HE,HE.HE.BS,18/SE,MA-050,MA-050-EOF01,N,,B,B,0,Fure
2717757,PY,PY.BA,18/SE,MA-050,MA-050-EOF01,N,,A-,A-,0,Fure
2781274,SW,SW.BSW,18/SE,MA-050,MA-050-EOF01,N,,A-,A-,0,Fure
2731042,SO,SO.BA,18/SE,MA-050,MA-050-EOF01,N,,A,A,0,Fure
2737597,HEPE,HEPE.BS,18/SP,MA-105,MA-105-51,N,C,C,C,3,Tranchina
2699355,PY,PY.BA,18/SP,MA-105,MA-105-05,N,A,D+,D+,3,Nill
2722498,MLS,MLS.BS,18/SP,MA-115,MA-115-02,N,B-,C,C,3,Zak
2656796,SW,SW.BSW,18/SP,MA-105,MA-105-50,N,A,A-,A-,3,Tranchina
2832261,MU,MU.MI.BA,19/FA,MA-050,MA-050-02,N,B-,B,B,0,Rizzuto
2835828,HE,HE.HE.BS,19/FA,MA-101,MA-101-02,N,A,B,B,3,Kaub
2725965,CO,CO.MSP.BA,19/FA,MA-203,MA-203-03,N,B+,A,A,3,Wacha
2839191,EN,EN.BA,19/FA,MA-050,MA-050-02,N,A,B+,B+,0,Rizzuto
2758279,HE,HE.HE.BS,19/FA,MA-050,MA-050-01,N,A,A,A,0,Coffey
2788128,CO,CO.MSP.BA,19/FA,MA-050,MA-050-02,N,C-,C-,C-,0,Rizzuto
2832801,HE,HE.HE.BS,19/FA,MA-050,MA-050-02,N,A-,A-,A-,0,Rizzuto
2836353,SW,SW.BSW,19/FA,MA-050,MA-050-01,N,R,F,F,0,Coffey
2795209,CO,CO.MSP.BA,19/FA,MA-105,MA-105-50,N,NR,C,C,3,Marchetta
2832755,EN,EN.EDE.BA,19/FA,MA-050,MA-050-01,N,A,B,B,0,Coffey
2830706,CJ,CJ.BA,19/FA,MA-105,MA-105-02,N,B,B,B,3,Ayers
2831761,PS,PS.INT.BA,19/FA,MA-050,MA-050-02,N,A,A,A,0,Rizzuto
2829005,FA,FA.GD.BFA,19/FA,MA-100,MA-100-02,N,C+,C+,C+,3,Turner
