New iD,Active Majors,GPA UG Cum,Reporting Year,Term,Course Name,Current Status,Verif Grade,M89 Stu Recent Math Placement 
995814,,3.663,0,,MA-050,NC,,MATH.4
995814,,3.663,0,,MA-101,NC,,MATH.4
995814,,3.663,0,,MA-109,NC,,MATH.4
995814,,3.663,0,,MA-115,NC,,MATH.4
995814,,3.663,2014,14/FA,MA-101,TR,T,MATH.4
995814,,3.663,2014,15/SP,MA-125,N,A,MATH.4
1134894,,2.442,0,,MA-050,NC,,MATH.3
1134894,,2.442,0,,MA-101,NC,,MATH.3
1134894,,2.442,2017,17/FA,MA-109,N,A-,MATH.3
1134894,,2.442,2017,18/SP,MA-125,N,D,MATH.3
1134894,,2.442,2018,18/FA,MA-125,N,D,MATH.3
1197910,CE,3.077,2018,18/FA,MA-101,TR,T,
1197910,CE,3.077,2018,18/FA,MA-109,TR,T,
1197910,CE,3.077,2018,18/FA,MA-125,N,D-,
1197910,CE,3.077,2020,21/SP,MA-125,N,D,
992126,,3.28,0,,MA-050,NC,,MATH.4
992126,,3.28,0,,MA-101,NC,,MATH.4
992126,,3.28,0,,MA-109,NC,,MATH.4
992126,,3.28,0,,MA-115,NC,,MATH.4
992126,,3.28,2015,15/FA,MA-125,N,B-,MATH.4
596441,,2.334,0,,MA-050,NC,,MATH.2
596441,,2.334,2005,05/FA,MA-101,N,B,MATH.2
596441,,2.334,2007,07/FA,MA-109,N,F,MATH.2
596441,,2.334,2007,08/SP,MA-109,N,C,MATH.2
596441,,2.334,2008,08/FA,MA-125,N,F,MATH.2
596441,,2.334,2008,09/SP,MA-125,N,D-,MATH.2
596441,,2.334,2010,10/FA,MA-125,A,C-,MATH.2
787370,,3.684,0,,MA-050,NC,,MATH.4
787370,,3.684,0,,MA-101,NC,,MATH.4
787370,,3.684,0,,MA-109,NC,,MATH.4
787370,,3.684,0,,MA-115,NC,,MATH.4
787370,,3.684,2011,11/FA,MA-125,N,B,MATH.4
925426,,3.47,0,,MA-050,NC,,MATH.4
925426,,3.47,0,,MA-101,NC,,MATH.4
925426,,3.47,0,,MA-109,NC,,MATH.4
925426,,3.47,0,,MA-115,NC,,MATH.4
925426,,3.47,2013,13/FA,MA-125,N,B-,MATH.4
955391,,2.568,2013,13/FA,MA-101,TR,T,
955391,,2.568,2013,13/FA,MA-109,N,C,
955391,,2.568,2013,14/SP,MA-125,N,C-,
844995,,2.865,0,,MA-050,NC,,MATH.4
844995,,2.865,0,,MA-101,NC,,MATH.4
844995,,2.865,0,,MA-109,NC,,MATH.4
844995,,2.865,0,,MA-115,NC,,MATH.4
844995,,2.865,2012,12/FA,MA-125,D,W,MATH.4
1294500,CE,3.142,0,,MA-050,NC,,MATH.3
1294500,CE,3.142,0,,MA-101,NC,,MATH.3
1294500,CE,3.142,2019,19/FA,MA-109,N,A-,MATH.3
1294500,CE,3.142,2019,20/SP,MA-125,N,B-,MATH.3
807762,,3.931,0,,MA-050,NC,,MATH.4
807762,,3.931,0,,MA-101,NC,,MATH.4
807762,,3.931,0,,MA-109,NC,,MATH.4
807762,,3.931,0,,MA-115,NC,,MATH.4
807762,,3.931,2010,10/FA,MA-125,N,A,MATH.4
1321275,CS,4,0,,MA-050,NC,,MATH.3
1321275,CS,4,0,,MA-101,NC,,MATH.3
1321275,CS,4,2021,21/FA,MA-125,N,A,MATH.3
1219200,,2.946,0,,MA-050,NC,,MATH.4
1219200,,2.946,0,,MA-101,NC,,MATH.4
1219200,,2.946,0,,MA-109,NC,,MATH.4
1219200,,2.946,0,,MA-115,NC,,MATH.4
1219200,,2.946,2018,19/SP,MA-125,N,B-,MATH.4
1319348,CS,3.429,0,,MA-050,NC,,MATH.4
1319348,CS,3.429,0,,MA-101,NC,,MATH.4
1319348,CS,3.429,0,,MA-109,NC,,MATH.4
1319348,CS,3.429,0,,MA-115,NC,,MATH.4
1319348,CS,3.429,2021,21/FA,MA-125,N,C+,MATH.4
1175816,,3.925,0,,MA-050,NC,,MATH.4
1175816,,3.925,0,,MA-101,NC,,MATH.4
1175816,,3.925,0,,MA-109,NC,,MATH.4
1175816,,3.925,0,,MA-115,NC,,MATH.4
1175816,,3.925,2017,17/FA,MA-109,TR,T,MATH.4
1175816,,3.925,2018,18/FA,MA-125,N,A,MATH.4
1104569,,3.464,0,,MA-050,NC,,MATH.4
1104569,,3.464,0,,MA-101,NC,,MATH.4
1104569,,3.464,0,,MA-109,NC,,MATH.4
1104569,,3.464,0,,MA-115,NC,,MATH.4
1104569,,3.464,2016,16/FA,MA-125,N,A,MATH.4
936669,,3.89,0,,MA-050,NC,,MATH.4
936669,,3.89,0,,MA-101,NC,,MATH.4
936669,,3.89,0,,MA-109,NC,,MATH.4
936669,,3.89,0,,MA-115,NC,,MATH.4
936669,,3.89,2013,13/FA,MA-125,N,A-,MATH.4
1302682,SE,3.593,0,,MA-050,NC,,MATH.4
,HON,,,,,,,
1302682,SE,3.593,0,,MA-101,NC,,MATH.4
,HON,,,,,,,
1302682,SE,3.593,0,,MA-109,NC,,MATH.4
,HON,,,,,,,
1302682,SE,3.593,0,,MA-115,NC,,MATH.4
,HON,,,,,,,
1302682,SE,3.593,2021,21/FA,MA-125,N,A-,MATH.4
,HON,,,,,,,
1003538,,2.955,0,,MA-050,NC,,MATH.3
1003538,,2.955,0,,MA-101,NC,,MATH.3
1003538,,2.955,2014,14/FA,MA-109,N,C,MATH.3
1003538,,2.955,2014,15/SP,MA-125,N,C-,MATH.3
843162,,3.645,0,,MA-050,NC,,MATH.4
843162,,3.645,0,,MA-101,NC,,MATH.4
843162,,3.645,0,,MA-109,NC,,MATH.4
843162,,3.645,0,,MA-115,NC,,MATH.4
843162,,3.645,2013,13/FA,MA-125,N,B+,MATH.4
948218,,3.394,2013,13/FA,MA-101,TR,T,
948218,,3.394,2013,13/FA,MA-125,N,A-,
1099030,,3.105,2015,16/SP,MA-050,N,A,MATH.1
1099030,,3.105,2016,16/FA,MA-101,N,C,MATH.1
1099030,,3.105,2017,17/FA,MA-115,N,B-,MATH.1
1099030,,3.105,2018,18/FA,MA-125,N,F,MATH.1
1099030,,3.105,2018,19/SB,MA-125,N,D+,MATH.1
1099030,,3.105,2019,19/FA,MA-125,N,C+,MATH.1
880430,,2.338,0,,MA-050,NC,,MATH.4
880430,,2.338,0,,MA-101,NC,,MATH.4
